PROV_CODE,AMP_CODE,TAM_CODE,PROV_NAMT,PROV_NAME,AMP_NAMT,AMP_NAME,TAM_NAMT,TAM_NAME,PA,PAT,amenity,name,name:th,layer
50.0,1.0,4.0,เชียงใหม่,CHIANG MAI,เมืองเชียงใหม่,MUEANG CHIANG MAI,ช้างม่อย,CHANG MOI,5001.0,500104.0,fire_station,อาคารป้องกันและบรรเทาสาธารณภัย,อาคารป้องกันและบรรเทาสาธารณภัย,
42.0,1.0,1.0,เลย,LOEI,เมืองเลย,MUEANG LOEI,กุดป่อง,KUT PONG,4201.0,420101.0,fire_station,Fire Station,,
67.0,8.0,1.0,เพชรบูรณ์,PHETCHABUN,บึงสามพัน,BUENG SAM PHAN,ซับสมอทอด,SAP SAMO THOT,6708.0,670801.0,fire_station,สถานีดับเพลิงบึงสามพัน,สถานีดับเพลิงบึงสามพัน,
90.0,11.0,1.0,สงขลา,SONGKHLA,หาดใหญ่,HAT YAI,หาดใหญ่,HAT YAI,9011.0,901101.0,fire_station,,,
50.0,14.0,7.0,เชียงใหม่,CHIANG MAI,สันทราย,SAN SAI,หนองจ๊อม,NONG CHOM,5014.0,501407.0,fire_station,,,
10.0,5.0,2.0,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,อนุสาวรีย์,ANUSAWARI,1005.0,100502.0,fire_station,สถานีดับเพลิงและกู้ภัยบางเขน,,
10.0,30.0,3.0,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,จันทรเกษม,CHANTHARAKASEM,1030.0,103003.0,fire_station,,,
64.0,2.0,1.0,สุโขทัย,SUKHOTHAI,บ้านด่านลานหอย,BAN DAN LAN HOI,ลานหอย,LAN HOI,6402.0,640201.0,fire_station,,,
50.0,9.0,1.0,เชียงใหม่,CHIANG MAI,ฝาง,FANG,เวียง,WIANG,5009.0,500901.0,fire_station,,,
16.0,1.0,2.0,ลพบุรี,LOP BURI,เมืองลพบุรี,MUEANG LOP BURI,ท่าหิน,THA HIN,1601.0,160102.0,fire_station,,,
57.0,11.0,6.0,เชียงราย,CHIANG RAI,เวียงป่าเป้า,WIANG PA PAO,แม่เจดีย์,MAE CHEDI,5711.0,571106.0,fire_station,งานป้องกันและบรรเทาสาธารณภัย,,
57.0,11.0,2.0,เชียงราย,CHIANG RAI,เวียงป่าเป้า,WIANG PA PAO,เวียง,WIANG,5711.0,571102.0,fire_station,,,
57.0,7.0,1.0,เชียงราย,CHIANG RAI,แม่จัน,MAE CHAN,แม่จัน,MAE CHAN,5707.0,570701.0,fire_station,งานป้องกันและบรรเทาสาธารณภัยเทศบาลตำบลแม่จัน,,
60.0,1.0,1.0,นครสวรรค์,NAKHON SAWAN,เมืองนครสวรรค์,MUEANG NAKHON SAWAN,ปากน้ำโพ,PAK NAM PHO,6001.0,600101.0,fire_station,,,
77.0,7.0,1.0,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,หัวหิน,HUA HIN,หัวหิน,HUA HIN,7707.0,770701.0,fire_station,,,
50.0,14.0,1.0,เชียงใหม่,CHIANG MAI,สันทราย,SAN SAI,สันทรายหลวง,SAN SAI LUANG,5014.0,501401.0,fire_station,,,
10.0,12.0,3.0,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,ช่องนนทรี,CHONG NONSI,1012.0,101203.0,fire_station,Yannawa Fire Station,,
30.0,1.0,1.0,นครราชสีมา,NAKHON RATCHASIMA,เมืองนครราชสีมา,MUEANG NAKHON RATCHASIMA,ในเมือง,NAI MUEANG,3001.0,300101.0,fire_station,สถานีดับเพลิงนครราชสีมา,,
73.0,7.0,1.0,นครปฐม,NAKHON PATHOM,พุทธมณฑล,PHUTTHAMONTHON,ศาลายา,SALA YA,7307.0,730701.0,fire_station,สถานีดับเพลิงตลิ่งชัน,,
