tumbol_ID,Region,Region_code,region_BKK,region_Central,region_West,region_East,region_North_East,region_North,region_South
141005,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141006,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141007,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141051,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141102,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141104,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141105,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141107,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141109,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141110,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141202,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141204,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141205,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141210,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141211,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141212,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141213,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141214,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141251,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141252,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141301,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141305,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141306,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141351,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141403,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141404,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141405,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141406,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141408,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141409,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141411,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141503,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141504,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141505,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141508,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141510,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141511,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141512,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141601,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141602,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141604,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141605,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150103,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150104,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150105,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150106,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150107,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150109,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150110,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150112,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150201,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150202,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150203,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150204,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150208,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150304,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150306,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150307,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150351,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150401,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150404,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150406,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150408,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150409,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150410,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150413,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150415,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150451,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150452,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150501,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150502,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150503,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150504,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150601,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150602,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150603,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150605,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150606,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150607,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150609,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150610,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150613,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150614,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150702,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150703,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150705,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160101,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160103,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160105,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160107,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160108,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160109,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160111,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160118,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160119,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160120,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160122,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160124,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160125,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160151,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160153,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160201,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160202,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160204,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160206,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160208,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160251,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160252,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160301,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160304,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160305,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160306,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160307,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160308,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160320,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160351,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160401,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160403,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160404,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160406,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160407,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160409,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160410,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160414,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
